Name,Age,Math,English,Biology
Student_1,22,65,97,73
Student_2,19,56,78,45
Student_3,23,79,53,92
Student_4,20,72,70,41
Student_5,22,48,97,52
Student_6,18,82,44,82
Student_7,22,93,74,82
Student_8,23,87,62,87
Student_9,20,78,68,50
Student_10,19,68,82,90
Student_11,23,81,50,86
Student_12,23,94,57,96
Student_13,18,65,86,62
Student_14,21,74,51,94
Student_15,20,89,48,55
Student_16,17,64,49,70
Student_17,23,63,97,50
Student_18,21,52,83,93
Student_19,17,99,56,55
Student_20,20,97,100,47
Student_21,16,46,77,43
Student_22,21,96,46,79
Student_23,24,75,85,43
Student_24,16,84,52,95
Student_25,18,59,79,64
Student_26,22,40,81,42
Student_27,19,47,48,71
Student_28,24,85,89,42
Student_29,18,55,66,66
Student_30,20,53,97,68
Student_31,18,51,41,71
Student_32,22,90,44,89
Student_33,20,62,68,100
Student_34,24,54,76,97
Student_35,22,67,77,90
Student_36,17,73,58,58
Student_37,19,41,47,60
Student_38,24,71,87,44
Student_39,17,62,84,57
Student_40,24,61,40,67
Student_41,20,90,61,81
Student_42,17,64,91,100
Student_43,19,97,56,61
Student_44,22,100,46,60
Student_45,23,61,64,45
Student_46,18,97,84,40
Student_47,16,97,43,44
Student_48,19,61,75,80
Student_49,17,88,45,51
Student_50,23,91,99,65
Student_51,19,81,70,85
Student_52,17,45,58,73
Student_53,21,54,100,88
Student_54,21,93,83,53
Student_55,19,82,93,65
Student_56,21,99,78,84
Student_57,17,76,66,66
Student_58,17,72,49,48
Student_59,19,47,65,65
Student_60,23,92,58,96
Student_61,22,99,78,86
Student_62,24,83,42,96
Student_63,23,83,84,61
Student_64,20,44,52,86
Student_65,17,78,89,95
Student_66,20,43,67,69
Student_67,23,45,97,82
Student_68,24,84,59,87
Student_69,24,71,67,100
Student_70,16,91,47,56
Student_71,24,69,100,65
Student_72,22,86,80,75
Student_73,24,74,78,40
Student_74,23,94,40,47
Student_75,16,79,42,88
Student_76,23,91,52,74
Student_77,23,55,67,100
Student_78,18,52,96,91
Student_79,16,89,99,54
Student_80,23,99,88,86
Student_81,18,81,64,95
Student_82,18,69,95,61
Student_83,16,58,72,53
Student_84,20,56,77,65
Student_85,22,95,92,67
Student_86,24,58,45,62
Student_87,22,67,97,53
Student_88,24,97,83,63
Student_89,23,94,84,41
Student_90,17,65,71,84
Student_91,16,76,84,65
Student_92,22,65,100,53
Student_93,22,92,86,98
Student_94,23,62,60,95
Student_95,20,48,55,90
